title,university,date,authors,journal,citations,theme
"Working with Indigenous, local and scientific knowledge in assessments of nature and nature’s linkages with people",James Cook University,2020-01-15,Rosemary Hill; Çiğdem Adem; Wilfred V Alangui; Zsolt Molnár; Yildiz Aumeeruddy‐Thomas,Current Opinion in Environmental Sustainability,299,Cybersecurity
What Really Works in Special and Inclusive Education: Using Evidence-Based Teaching Strategies,University of Canterbury,2020-02-18,David Mitchell,,298,Cybersecurity
The Internet of Things (IoT) in healthcare: Taking stock and moving forward,Edith Cowan University,2023-02-14,Abderahman Rejeb; Karim Rejeb; Horst Treiblmaier; Andrea Appolloni; Salem Alghamdi,Internet of Things,296,Cybersecurity
Edge‐Rich Fe−N<sub>4</sub> Active Sites in Defective Carbon for Oxygen Reduction Catalysis,Griffith University,2020-03-05,Xin Wang; Yi Jia; Xin Mao; Daobin Liu; Wenxiang He,Advanced Materials,289,Cybersecurity
Comorbidities in SARS-CoV-2 Patients: a Systematic Review and Meta-Analysis,Griffith University,2021-02-08,Wern Hann Ng; Thomas Tipih; Makoah N. Aminake; Jan‐G Vermeulen; Dominique Goedhals,mBio,287,Cybersecurity
AMEE Consensus Statement: Planetary health and education for sustainable healthcare,Bond University,2021-02-19,Emily Shaw; Sarah Walpole; Michelle McLean; Carmen Álvarez Nieto; Stefi Barna,Medical Teacher,286,Cybersecurity
Russia–Ukraine crisis: The effects on the European stock market,Macquarie University,2022-07-09,Shaker Ahmed; Mostafa Monzur Hasan; Md Rajib Kamal,European Financial Management,280,Cybersecurity
Mission Economy: A Moonshot Guide to Changing Capitalism,University of Technology Sydney,2022-04-23,Roy Green,Contributions to Political Economy,273,Cybersecurity
COVID‐19 and Indigenous Peoples: An imperative for action,University of Technology Sydney,2020-05-16,Tamara Power; Denise Wilson; Odette Best; Teresa Brockie; Lisa Bourque Bearskin,Journal of Clinical Nursing,272,Cybersecurity
Exercise as medicine for depressive symptoms? A systematic review and meta-analysis with meta-regression,Macquarie University,2023-02-01,Andreas Heißel; Darlene Heinen; Luisa Leonie Brokmeier; Nora Skarabis; Maria Kangas,British Journal of Sports Medicine,271,Cybersecurity
Stewardship of global collective behavior,Australian Catholic University,2021-06-21,Joseph B. Bak-Coleman; Mark Alfano; Wolfram Barfuß; Carl T. Bergstrom; Miguel Ángel Centeno,Proceedings of the National Academy of Sciences,267,Cybersecurity
"Computational propaganda: political parties, politicians, and political manipulation on social media",Flinders University,2020-03-01,Emily Bienvenue,International Affairs,266,Cybersecurity
Current and Emerging Developments in Subseasonal to Decadal Prediction,Monash University,2020-01-29,William J. Merryfield; Johanna Baehr; Lauriane Batté; Emily Becker; Amy H. Butler,Bulletin of the American Meteorological Society,264,Cybersecurity
Green IoT for Eco-Friendly and Sustainable Smart Cities: Future Directions and Opportunities,Central Queensland University,2021-08-17,Faris A. Almalki; Saeed Hamood Alsamhi; Radhya Sahal; Jahan Hassan; Ammar Hawbani,Mobile Networks and Applications,263,Cybersecurity
Pandemic leadership: Lessons from New Zealand’s approach to COVID-19,Massey University,2020-05-26,Suze Wilson,Leadership,261,Cybersecurity
A systematic review on trends in using Moodle for teaching and learning,University of South Australia,2022-01-25,Sithara H. P. W. Gamage; Jennifer R. Ayres; Monica Behrend,International Journal of STEM Education,256,Cybersecurity
Missed nursing care: An overview of reviews,Griffith University,2020-10-06,Wendy Chaboyer; Emma Harbeck; Bih‐O Lee; Laurie Grealish,The Kaohsiung Journal of Medical Sciences,255,Cybersecurity
Points to consider for the treatment of immune-mediated inflammatory diseases with Janus kinase inhibitors: a consensus statement,Griffith University,2020-11-06,Peter Nash; Andreas Kerschbaumer; Thomas Dörner; Maxime Dougados; Roy Fleischmann,Annals of the Rheumatic Diseases,254,Cybersecurity
Vacancy-defect modulated pathway of photoreduction of CO2 on single atomically thin AgInP2S6 sheets into olefiant gas,University of Wollongong,2021-08-06,Wa Gao; Li Shi; Huichao He; Xiaoning Li; Zhenxiang Cheng,Nature Communications,253,Cybersecurity
Blinding and expectancy confounds in psychedelic randomized controlled trials,University of Auckland,2021-05-26,Suresh Muthukumaraswamy; Anna Forsyth; Thomas Lumley,Expert Review of Clinical Pharmacology,249,Cybersecurity
Large Language Models for Software Engineering: A Systematic Literature Review,Monash University,2024-09-20,Xinyi Hou; Yanjie Zhao; Yue Liu; Zhou Yang; Kailong Wang,ACM Transactions on Software Engineering and Methodology,249,Cybersecurity
A community-based transcriptomics classification and nomenclature of neocortical cell types,Macquarie University,2020-08-24,Rafael Yuste; Michael Hawrylycz; Nadia Aalling; Argel Aguilar‐Valles; Detlev Arendt,Nature Neuroscience,248,Cybersecurity
"Agriculture Development, Pesticide Application and Its Impact on the Environment",Griffith University,2021-01-27,Muyesaier Tudi; Huada Daniel Ruan; Li Wang; Jia Lyu; Ross Sadler,International Journal of Environmental Research and Public Health,1963,Energy_Sustainability
Earth beyond six of nine planetary boundaries,Australian National University,2023-09-13,Katherine Richardson; Will Steffen; Wolfgang Lucht; Jørgen Bendtsen; Sarah Cornell,Science Advances,1748,Energy_Sustainability
Airborne transmission of SARS-CoV-2: The world should face the reality,Queensland University of Technology,2020-04-10,Lídia Morawska; Junji Cao,Environment International,1741,Energy_Sustainability
Plant responses to rising vapor pressure deficit,James Cook University,2020-02-17,Charlotte Grossiord; Thomas N. Buckley; Lucas A. Cernusak; Kimberly A. Novick; Benjamin Poulter,New Phytologist,1601,Energy_Sustainability
Phytoremediation: A Promising Approach for Revegetation of Heavy Metal-Polluted Land,University of New England,2020-04-30,Yan An; Yamin Wang; Swee Ngin Tan; Mohamed Lokman Mohd Yusof; Subhadip Ghosh,Frontiers in Plant Science,1367,Energy_Sustainability
Global threat of arsenic in groundwater,University of Southern Queensland,2020-05-21,Joel Podgorski; Michael Berg,Science,1223,Energy_Sustainability
Pharmaceutical pollution of the world’s rivers,Deakin University,2022-02-14,John L. Wilkinson; Alistair B.A. Boxall; Dana W. Kolpin; Kmy Leung; Racliffe Weng Seng Lai,Proceedings of the National Academy of Sciences,1149,Energy_Sustainability
Bending the Curve of Global Freshwater Biodiversity Loss: An Emergency Recovery Plan,Griffith University,2020-01-09,David Tickner; Jeffrey J. Opperman; Robin Abell; Mike Acreman; Angela H. Arthington,BioScience,962,Energy_Sustainability
Safe and just Earth system boundaries,Australian National University,2023-05-31,Johan Rockström; Joyeeta Gupta; Dahe Qin; Steven J. Lade; Jesse F. Abrams,Nature,833,Energy_Sustainability
Trade-offs between multifunctionality and profit in tropical smallholder landscapes,University of Waikato,2020-03-04,Ingo Graß; Christoph Kubitza; Vijesh V. Krishna; Marife D. Corre; Oliver Mußhoff,Nature Communications,769,Energy_Sustainability
Estimation of airborne viral emission: Quanta emission rate of SARS-CoV-2 for infection risk assessment,Queensland University of Technology,2020-05-11,Giorgio Buonanno; Luca Stabile; Lídia Morawska,Environment International,740,Energy_Sustainability
"Progress in biomass torrefaction: Principles, applications and challenges",University of Technology Sydney,2020-10-26,Wei‐Hsin Chen; Bo-Jhih Lin; Yu‐Ying Lin; Yen-Shih Chu; Aristotle T. Ubando,Progress in Energy and Combustion Science,738,Energy_Sustainability
"Forest microclimates and climate change: Importance, drivers and future research agenda",University of Wollongong,2021-03-16,Pieter De Frenne; Jonathan Lenoir; Miska Luoto; Brett R. Scheffers; Florian Zellweger,Global Change Biology,736,Energy_Sustainability
County-level CO2 emissions and sequestration in China during 1997–2017,Curtin University,2020-11-12,Jiandong Chen; Ming Gao; Shulei Cheng; Wenxuan Hou; Malin Song,Scientific Data,713,Energy_Sustainability
Hanging by a thread? Forests and drought,University of Tasmania,2020-04-16,Timothy J. Brodribb; Jennifer S. Powers; Hervé Cochard; Brendan Choat,Science,698,Energy_Sustainability
The soundscape of the Anthropocene ocean,La Trobe University,2021-02-04,Carlos M. Duarte; Lucille Chapuis; Shaun P. Collin; Daniel P. Costa; Reny P. Devassy,Science,679,Energy_Sustainability
Fertilizers and nitrate pollution of surface and ground water: an increasingly pervasive global problem,Australian National University,2021-03-31,Bijay Sıngh; E. T. Craswell,SN Applied Sciences,663,Energy_Sustainability
"Global, regional, and national burden of mortality associated with non-optimal ambient temperatures from 2000 to 2019: a three-stage modelling study",Monash University,2021-07-01,Qi Zhao; Yuming Guo; Tingting Ye; Antonio Gasparrini; Shilu Tong,The Lancet Planetary Health,651,Energy_Sustainability
Global meta-analysis shows pervasive phosphorus limitation of aboveground plant production in natural terrestrial ecosystems,Griffith University,2020-01-31,Enqing Hou; Yiqi Luo; Yuanwen Kuang; Chengrong Chen; X. L. Lu,Nature Communications,615,Energy_Sustainability
A critical review on advances in the practices and perspectives for the treatment of dye industry wastewater,University of Technology Sydney,2020-12-28,Toral Shindhal; Parita Rakholiya; Sunita Varjani; Ashok Pandey; Huu Hao Ngo,Bioengineered,591,Energy_Sustainability
"Coral restoration – A systematic review of current methods, successes, failures and future directions",James Cook University,2020-01-30,Lisa Boström‐Einarsson; Russell C. Babcock; Elisa Bayraktarov; Daniela M. Ceccarelli; Nathan Cook,PLoS ONE,575,Energy_Sustainability
Ongoing declines for the world’s amphibians in the face of emerging threats,James Cook University,2023-10-04,Jennifer Luedtke; Janice Chanson; Kelsey Neam; Louise Hobin; Adriano Oliveira Maciel,Nature,470,Energy_Sustainability
Chromium Bioaccumulation and Its Impacts on Plants: An Overview,University of Tasmania,2020-01-13,Anket Sharma; Dhriti Kapoor; Junfeng Wang; Babar Shahzad; Vinod Kumar,Plants,444,Energy_Sustainability
Seamless retrievals of chlorophyll-a from Sentinel-2 (MSI) and Sentinel-3 (OLCI) in inland and coastal waters: A machine-learning approach,University of Waikato,2020-02-07,Nima Pahlevan; Brandon Smith; John F. Schalles; Caren Binding; Zhigang Cao,Remote Sensing of Environment,427,Energy_Sustainability
Extreme weather impacts of climate change: an attribution perspective,Victoria University of Wellington,2022-06-28,Ben Clarke; Friederike E. L. Otto; Rupert Stuart-Smith; Luke J. Harrington,Environmental Research Climate,424,Energy_Sustainability
Scientists' warning on climate change and insects,Monash University,2022-11-07,Jeffrey A. Harvey; Kévin Tougeron; Rieta Gols; Robin Heinen; Mariana Abarca,Ecological Monographs,411,Energy_Sustainability
Indoor Exposure to Selected Air Pollutants in the Home Environment: A Systematic Review,Australian National University,2020-12-02,Sotiris Vardoulakis; Evanthia Giagloglou; Susanne Steinle; Alice Davis; Anne Sleeuwenhoek,International Journal of Environmental Research and Public Health,403,Energy_Sustainability
Perceived global increase in algal blooms is attributable to intensified monitoring and emerging bloom impacts,University of Tasmania,2021-06-08,Gustaaf M. Hallegraeff; Donald M. Anderson; Catherine Belin; Marie‐Yasmine Dechraoui Bottein; Eileen Bresnan,Communications Earth & Environment,397,Energy_Sustainability
Sampling biases shape our view of the natural world,University of Auckland,2021-06-21,Alice C. Hughes; Michael C. Orr; Keping Ma; Mark J. Costello; John Waller,Ecography,396,Energy_Sustainability
Making sustainable aluminum by recycling scrap: The science of “dirty” alloys,Monash University,2022-04-07,Dierk Raabe; Dirk Ponge; Peter J. Uggowitzer; Moritz Roscher; Mario Paolantonio,Progress in Materials Science,396,Energy_Sustainability
Climate Change Risks to Global Forest Health: Emergence of Unexpected Events of Elevated Tree Mortality Worldwide,Murdoch University,2022-03-01,Henrik Hartmann; Ana Bastos; Adrian J. Das; Adriane Esquivel‐Muelbert; William M. Hammond,Annual Review of Plant Biology,393,Energy_Sustainability
The MPA Guide: A framework to achieve global goals for the ocean,James Cook University,2021-09-09,Kirsten Grorud‐Colvert; Jenna Sullivan‐Stack; Callum M. Roberts; Vanessa Constant; Bárbara Horta e Costa,Science,392,Energy_Sustainability
On the History and Future of 100% Renewable Energy Systems Research,University of Technology Sydney,2022-01-01,Christian Breyer; Siavash Khalili; Dmitrii Bogdanov; Manish Ram; Ayobami Solomon Oyewo,IEEE Access,377,Energy_Sustainability
Towards a unified study of multiple stressors: divisions and common goals across research disciplines,University of Otago,2020-05-06,James Orr; Rolf D. Vinebrooke; Michelle C. Jackson; Kristy J. Kroeker; Rebecca L. Kordas,Proceedings of the Royal Society B Biological Sciences,372,Energy_Sustainability
Plastic ingestion as an evolutionary trap: Toward a holistic understanding,Massey University,2021-07-01,Robson G. Santos; Gabriel E. Machovsky‐Capuska; Ryan Andrades,Science,372,Energy_Sustainability
Thresholds of mangrove survival under rapid sea level rise,Macquarie University,2020-06-04,Neil Saintilan; Nicole S. Khan; Erica Ashe; Jeffrey J. Kelleway; Kerrylee Rogers,Science,356,Energy_Sustainability
"Recent advances in carbon dioxide geological storage, experimental procedures, influencing parameters, and future outlook",Curtin University,2021-12-14,Muhammad Ali; Nilesh Kumar Jha; Nilanjan Pal; Alireza Keshavarz; Hussein Hoteit,Earth-Science Reviews,351,Energy_Sustainability
Agriculture's Contribution to Climate Change and Role in Mitigation Is Distinct From Predominantly Fossil CO2-Emitting Sectors,Victoria University of Wellington,2021-02-03,John Lynch; Michelle Cain; David J. Frame; Raymond T. Pierrehumbert,Frontiers in Sustainable Food Systems,350,Energy_Sustainability
All‐Cold Evaporation under One Sun with Zero Energy Loss by Using a Heatsink Inspired Solar Evaporator,University of South Australia,2021-02-08,Xuan Wu; Zhiqing Wu; Yida Wang; Ting Gao; Qin Li,Advanced Science,340,Energy_Sustainability
Demand-side solutions to climate change mitigation consistent with high levels of well-being,Australian National University,2021-11-25,Felix Creutzig; Leila Niamir; Xuemei Bai; Max Callaghan; Jonathan M. Cullen,Nature Climate Change,335,Energy_Sustainability
"Global food insecurity and famine from reduced crop, marine fishery and livestock production due to climate disruption from nuclear war soot injection",Queensland University of Technology,2022-08-15,Lili Xia; Alan Robock; Kim Scherrer; Cheryl S. Harrison; Benjamin Leon Bodirsky,Nature Food,334,Energy_Sustainability
Recent progress in ammonia fuel cells and their potential applications,Monash University,2020-11-26,Georgina Jeerh; Mengfei Zhang; Shanwen Tao,Journal of Materials Chemistry A,333,Energy_Sustainability
IceCube high-energy starting event sample: Description and flux characterization with 7.5 years of data,University of Canterbury,2021-07-08,Rasha Abbasi; M. Ackermann; J. Adams; J. A. Aguilar; M. Ahlers,Physical review. D/Physical review. D.,321,Energy_Sustainability
A review of pumped hydro energy storage,Australian National University,2021-03-02,Andrew Blakers; Matthew Stocks; Bin Lü; Cheng Cheng,Progress in Energy,319,Energy_Sustainability
Interfacial Solar Evaporation: From Fundamental Research to Applications,University of South Australia,2024-02-22,Xuan Wu; Yi Lu; Xiaohu Ren; Pan Wu; Dewei Chu,Advanced Materials,318,Energy_Sustainability
The 2023 terahertz science and technology roadmap,University of Wollongong,2023-02-23,Alfred Leitenstorfer; A. S. Moskalenko; Tobias Kampfrath; Junichiro Kono; E. Castro-Camus,Journal of Physics D Applied Physics,317,Energy_Sustainability
The future sea-level contribution of the Greenland ice sheet: a multi-model ensemble study of ISMIP6,Victoria University of Wellington,2020-09-17,Heiko Goelzer; Sophie Nowicki; A. J. Payne; Eric Larour; Hélène Seroussi,The cryosphere,317,Energy_Sustainability
UN Decade on Ecosystem Restoration 2021–2030—What Chance for Success in Restoring Coastal Ecosystems?,James Cook University,2020-02-20,Nathan J. Waltham; Michael Elliott; Shing Yip Lee; Catherine E. Lovelock; Carlos M. Duarte,Frontiers in Marine Science,317,Energy_Sustainability
Heat stored in the Earth system: where does the energy go?,University of Tasmania,2020-09-07,Karina von Schuckmann; Lijing Cheng; Matthew D. Palmer; James E. Hansen; Caterina Tassone,Earth system science data,316,Energy_Sustainability
Hydrogen Wettability of Sandstone Reservoirs: Implications for Hydrogen Geo‐Storage,Edith Cowan University,2020-12-12,Stefan Iglauer; Muhammad Ali; Alireza Keshavarz,Geophysical Research Letters,314,Energy_Sustainability
The global distribution of seagrass meadows,James Cook University,2020-03-05,Len McKenzie; Lina Mtwana Nordlund; Benjamin L. Jones; Leanne C. Cullen‐Unsworth; Chris Roelfsema,Environmental Research Letters,309,Energy_Sustainability
Solutions for humanity on how to conserve insects,Australian National University,2020-02-01,Michael J. Samways; Philip S. Barton; Klaus Birkhofer; Filipe Chichorro; Charl Deacon,Biological Conservation,304,Energy_Sustainability
Zeolite synthesis from low-cost materials and environmental applications: A review,University of Technology Sydney,2020-11-13,Abdul Khaleque; Md Masruck Alam; Mozammel Hoque; Shuvodip Mondal; Jahid Bin Haider,Environmental Advances,303,Energy_Sustainability
Global blue carbon accumulation in tidal wetlands increases with climate change,Southern Cross University,2020-12-12,Faming Wang; Christian J. Sanders; Isaac R. Santos; Jianwu Tang; Mark Schuerch,National Science Review,298,Energy_Sustainability
Microbially influenced corrosion—Any progress?,Swinburne University of Technology,2020-04-06,Brenda J. Little; Daniel John Blackwood; Jamie Hinks; Federico M. Lauro; Enrico Marsili,Corrosion Science,297,Energy_Sustainability
Evaluation of 18 satellite- and model-based soil moisture products using in situ measurements from 826 sensors,Australian National University,2021-01-04,Hylke E. Beck; Ming Pan; Diego G. Miralles; Rolf H. Reichle; Wouter Dorigo,Hydrology and earth system sciences,296,Energy_Sustainability
A roadmap for high-resolution satellite soil moisture applications – confronting product characteristics with user requirements,Monash University,2020-11-05,Jian Peng; Clément Albergel; Anna Balenzano; Luca Brocca; Oliver Cartus,Remote Sensing of Environment,295,Energy_Sustainability
Challenges in the acceleration of sustainability transitions,Monash University,2020-05-19,Jochen Markard; Frank W. Geels; Rob Raven,Environmental Research Letters,285,Energy_Sustainability
State-of-the-art of renewable energy sources used in water desalination: Present and future prospects,University of Southern Queensland,2021-03-16,Jochen Bundschuh; Michał Kaczmarczyk; Noreddine Ghaffour; Barbara Tomaszewska,Desalination,283,Energy_Sustainability
"PFAS and their substitutes in groundwater: Occurrence, transformation and remediation",University of Technology Sydney,2021-01-23,Bentuo Xu; Shuai Liu; John L. Zhou; Chunmiao Zheng; Weifeng Jin,Journal of Hazardous Materials,281,Energy_Sustainability
Atmospheric dryness reduces photosynthesis along a large range of soil water deficits,Macquarie University,2022-02-21,Zheng Fu; Philippe Ciais; I. Colin Prentice; Pierre Gentine; David Makowski,Nature Communications,281,Energy_Sustainability
An overview of the ORACLES (ObseRvations of Aerosols above CLouds and their intEractionS) project: aerosol–cloud–radiation interactions in the southeast Atlantic basin,University of Auckland,2021-02-04,Jens Redemann; Robert Wood; Paquita Zuidema; Sarah J. Doherty; Bernadette Luna,Atmospheric chemistry and physics,278,Energy_Sustainability
Total ecosystem carbon stocks of mangroves across broad global environmental and physical gradients,Griffith University,2020-01-24,J. Boone Kauffman; María Fernanda Adame; Virni Budi Arifanti; Lisa Schile-Beers; Ângelo F. Bernardino,Ecological Monographs,275,Energy_Sustainability
Recent progress in recycling carbon fibre reinforced composites and dry carbon fibre wastes,Deakin University,2020-12-11,Esfandiar Pakdel; Sima Kashi; Russell J. Varley; Xungai Wang,Resources Conservation and Recycling,275,Energy_Sustainability
The COVID-19 pandemic: Considerations for the waste and wastewater services sector,University of Technology Sydney,2020-04-30,Long D. Nghiem; Branwen Morgan; Erica Donner; Michael D. Short,Case Studies in Chemical and Environmental Engineering,271,Energy_Sustainability
"Linking the Remote Sensing of Geodiversity and Traits Relevant to Biodiversity—Part II: Geomorphology, Terrain and Surfaces",Macquarie University,2020-11-10,Angela Lausch; Michael E. Schaepman; Andrew K. Skidmore; Sina Truckenbrodt; Jörg Hacker,Remote Sensing,264,Energy_Sustainability
Phase 3 Trial of Interleukin-1 Trap Rilonacept in Recurrent Pericarditis,Monash University,2020-11-16,Allan L. Klein; Massimo Imazio; Paul Cremer; Antonio Brucato; Antonio Abbate,New England Journal of Medicine,262,Energy_Sustainability
"ACIX-Aqua: A global assessment of atmospheric correction methods for Landsat-8 and Sentinel-2 over lakes, rivers, and coastal waters",University of Waikato,2021-03-09,Nima Pahlevan; Antoine Mangin; Sundarabalan V. Balasubramanian; Brandon Smith; Krista Alikas,Remote Sensing of Environment,262,Energy_Sustainability
Revitalising sodium–sulfur batteries for non-high-temperature operation: a crucial review,University of Technology Sydney,2020-01-01,Yizhou Wang; Dong Zhou; Verónica Palomares; Devaraj Shanmukaraj; Bing Sun,Energy & Environmental Science,261,Energy_Sustainability
Rainfall Induced Landslide Studies in Indian Himalayan Region: A Critical Review,University of Technology Sydney,2020-04-03,Abhirup Dikshit; Raju Sarkar; Biswajeet Pradhan; Samuele Segoni; Abdullah Alamri,Applied Sciences,260,Energy_Sustainability
Electrochemical energy storage devices working in extreme conditions,University of Wollongong,2021-01-01,Mingzhe Chen; Yanyan Zhang; Guichuan Xing; Shulei Chou; Yuxin Tang,Energy & Environmental Science,257,Energy_Sustainability
Overview of the MOSAiC expedition: Snow and sea ice,Victoria University of Wellington,2022-01-01,Marcel Nicolaus; Donald K. Perovich; Gunnar Spreen; Mats A. Granskog; Luisa von Albedyll,Elementa Science of the Anthropocene,257,Energy_Sustainability
Oxidation and fragmentation of plastics in a changing environment; from UV-radiation to biological degradation,Murdoch University,2022-08-12,Anthony L. Andrady; Paul W. Barnes; Janet F. Bornman; Todd Gouin; S. Madronich,The Science of The Total Environment,257,Energy_Sustainability
Global warming is causing a more pronounced dip in marine species richness around the equator,University of Auckland,2021-04-05,Chhaya Chaudhary; Anthony J. Richardson; David S. Schoeman; Mark J. Costello,Proceedings of the National Academy of Sciences,251,Energy_Sustainability
Exponential increase of plastic burial in mangrove sediments as a major plastic sink,Edith Cowan University,2020-10-28,Cecilia Martin; Fadiyah M. Baalkhuyur; Letizia Valluzzi; Vincent Saderne; Michael Cusack,Science Advances,250,Energy_Sustainability
Global maps of soil temperature,University of Wollongong,2021-12-30,Jonas J. Lembrechts; Johan van den Hoogen; Juha Aalto; Michael B. Ashcroft; Pieter De Frenne,Global Change Biology,250,Energy_Sustainability
"Association of biochar properties with changes in soil bacterial, fungal and fauna communities and nutrient cycling processes",La Trobe University,2021-06-29,Zhongmin Dai; Xinquan Xiong; Hang Zhu; Haojie Xu; Peng Leng,Biochar,248,Energy_Sustainability
Next-generation ensemble projections reveal higher climate risks for marine ecosystems,University of Tasmania,2021-10-21,Derek P. Tittensor; Camilla Novaglio; Cheryl S. Harrison; Ryan F. Heneghan; Nicolas Barrier,Nature Climate Change,248,Energy_Sustainability
Floating macro- and microplastics around the Southern Ocean: Results from the Antarctic Circumnavigation Expedition,Monash University,2020-01-27,Giuseppe Suaria; Vonica Perold; Jasmine Lee; Fabrice Lebouard; Stefano Aliani,Environment International,247,Energy_Sustainability
Using soil bacterial communities to predict physico-chemical variables and soil quality,University of Auckland,2020-06-02,Syrie M. Hermans; Hannah L. Buckley; Bradley S. Case; Fiona Curran‐Cournane; Matthew D. Taylor,Microbiome,246,Energy_Sustainability
The 2021 battery technology roadmap,University of Technology Sydney,2020-12-14,Jianmin Ma; Yutao Li; Nicholas S. Grundish; John B. Goodenough; Yuhui Chen,Journal of Physics D Applied Physics,246,Energy_Sustainability
Global declines in coral reef calcium carbonate production under ocean acidification and warming,James Cook University,2021-05-10,Christopher E. Cornwall; Steeve Comeau; Niklas A. Kornder; Chris T. Perry; Ruben van Hooidonk,Proceedings of the National Academy of Sciences,244,Energy_Sustainability
Electrocatalytic Water Splitting: From Harsh and Mild Conditions to Natural Seawater,Swinburne University of Technology,2021-12-08,Xue Xiao; Lijun Yang; Wenping Sun; Yu Chen; Hai Yu,Small,244,Energy_Sustainability
Critical success factors for a circular economy: Implications for business strategy and the environment,University of Technology Sydney,2020-08-04,Md. Abdul Moktadir; Anil Kumar; Syed Mithun Ali; Sanjoy Kumar Paul; Razia Sultana,Business Strategy and the Environment,243,Energy_Sustainability
"Heavy metal toxicity, sources, and remediation techniques for contaminated water and soil",University of Technology Sydney,2021-11-24,Shams Forruque Ahmed; P. Senthil Kumar; Mahtabin Rodela Rozbu; Anika Tasnim Chowdhury; Samiha Nuzhat,Environmental Technology & Innovation,241,Energy_Sustainability
Metrics that matter for assessing the ocean biological carbon pump,University of Tasmania,2020-04-06,Ken O. Buesseler; Philip W. Boyd; Erin Black; David A. Siegel,Proceedings of the National Academy of Sciences,240,Energy_Sustainability
Fjords as Aquatic Critical Zones (ACZs),University of Otago,2020-03-02,Thomas S. Bianchi; Sandra Arndt; William E. N. Austin; Douglas I. Benn; Sébastien Bertrand,Earth-Science Reviews,233,Energy_Sustainability
Non-stomatal limitation of photosynthesis by soil salinity,University of Tasmania,2020-03-11,Ting Pan; Minmin Liu; Vladimir D. Kreslavski; Sergey K. Zharmukhamedov; Chenrong Nie,Critical Reviews in Environmental Science and Technology,229,Energy_Sustainability
Mapping global lake dynamics reveals the emerging roles of small lakes,Deakin University,2022-10-01,Xuehui Pi; Qiuqi Luo; Lian Feng; Yang Xu; Jing Tang,Nature Communications,229,Energy_Sustainability
2020 Roadmap on Carbon Materials for Energy Storage and Conversion,University of Wollongong,2020-02-19,Mingguang Wu; Jiaqin Liao; Lingxiao Yu; Ruitao Lv; Peng Li,Chemistry - An Asian Journal,228,Energy_Sustainability
Too hot to handle: Unprecedented seagrass death driven by marine heatwave in a World Heritage Area,Edith Cowan University,2020-03-04,Simone Strydom; Kathy Murray; Shaun K. Wilson; Bart Huntley; Michael J. Rule,Global Change Biology,228,Energy_Sustainability
Enhancing solar steam generation using a highly thermally conductive evaporator support,University of South Australia,2021-09-23,Yida Wang; Xuan Wu; Pan Wu; Jingyuan Zhao; Xiaofei Yang,Science Bulletin,227,Energy_Sustainability
Global increase in wildfire risk due to climate‐driven declines in fuel moisture,University of Tasmania,2021-11-20,Todd Ellis; David M. J. S. Bowman; Piyush Jain; Mike Flannigan; Grant J. Williamson,Global Change Biology,227,Energy_Sustainability
Toward a Fundamental Understanding of Geological Hydrogen Storage,Curtin University,2022-02-15,Adnan Aftab; Aliakbar Hassanpouryouzband; Quan Xie; Laura L. Machuca; Mohammad Sarmadivaleh,Industrial & Engineering Chemistry Research,227,Energy_Sustainability
Changes in soil organic carbon under perennial crops,Curtin University,2020-05-15,Alicia Ledo; Pete Smith; Ayalsew Zerihun; Jeanette Whitaker; José Luis Vicente‐Vicente,Global Change Biology,225,Energy_Sustainability
Fostering natural forest regeneration on former agricultural land through economic and policy interventions,University of the Sunshine Coast,2020-02-25,Robin L. Chazdon; David B. Lindenmayer; Manuel R. Guariguata; Renato Crouzeilles; José María Rey Beñayas,Environmental Research Letters,224,Energy_Sustainability
"Tree effects on urban microclimate: Diurnal, seasonal, and climatic temperature differences explained by separating radiation, evapotranspiration, and roughness effects",Monash University,2020-12-28,Naika Meili; Gabriele Manoli; Paolo Burlando; Jan Carmeliet; Winston Chow,Urban forestry & urban greening,224,Energy_Sustainability
Climate change attribution and the economic costs of extreme weather events: a study on damages from extreme rainfall and drought,Victoria University of Wellington,2020-05-20,David J. Frame; Suzanne M. Rosier; Ilan Noy; Luke J. Harrington; Trevor Carey‐Smith,Climatic Change,224,Energy_Sustainability
Review of life-cycle based methods for absolute environmental sustainability assessment and their applications,Massey University,2020-04-16,Anders Bjørn; Chanjief Chandrakumar; Anne‐Marie Boulay; Gabor Doka; Kai Fang,Environmental Research Letters,222,Energy_Sustainability
Partitioning the Uncertainty of Ensemble Projections of Global Glacier Mass Change,Victoria University of Wellington,2020-04-25,Ben Marzeion; Regine Hock; Brian Anderson; Andrew Bliss; Nicolas Champollion,Earth s Future,221,Energy_Sustainability
Green infrastructure for air quality improvement in street canyons,University of Wollongong,2020-12-09,Mamatha Tomson; Prashant Kumar; Yendle Barwise; Pascal Perez; Hugh Forehead,Environment International,221,Energy_Sustainability
Increasing fire and the decline of fire adapted black spruce in the boreal forest,Victoria University of Wellington,2021-10-25,Jennifer L. Baltzer; Nicola J. Day; Xanthe J. Walker; David F. Greene; Michelle C. Mack,Proceedings of the National Academy of Sciences,218,Energy_Sustainability
Exposure Routes and Health Risks Associated with Pesticide Application,Griffith University,2022-06-19,Muyesaier Tudi; Hairong Li; Hongying Li; Li Wang; Jia Lyu,Toxics,217,Energy_Sustainability
